,date,total_rides
978,11/26/2022,323688
979,11/25/2022,356751
980,11/24/2022,175622
981,11/23/2022,466241
982,11/22/2022,557852
983,11/21/2022,543411
984,11/20/2022,261836
985,11/19/2022,365210
986,11/18/2022,573677
987,11/17/2022,626480
988,11/16/2022,648011
989,11/15/2022,600048
990,11/14/2022,569988
991,11/13/2022,278323
992,11/12/2022,396239
993,11/11/2022,405285
994,11/10/2022,639879
995,11/09/2022,643358
996,11/08/2022,600633
997,11/07/2022,572160
998,11/06/2022,293240
999,11/05/2022,406059
1000,11/04/2022,597512
1001,11/03/2022,640029
1002,11/02/2022,641182
1003,11/01/2022,637041
1004,10/31/2022,560540
1005,10/30/2022,332945
1006,10/29/2022,410998
1007,10/28/2022,603833
1008,10/27/2022,643121
1009,10/26/2022,636181
1010,10/25/2022,637241
1011,10/24/2022,570414
1012,10/23/2022,296791
1013,10/22/2022,411158
1014,10/21/2022,574004
1015,10/20/2022,616127
1016,10/19/2022,628763
1017,10/18/2022,631573
1018,10/17/2022,573797
1019,10/16/2022,293700
1020,10/15/2022,403202
1021,10/14/2022,597807
1022,10/13/2022,581141
1023,10/12/2022,658342
1024,10/11/2022,639218
1025,10/10/2022,416599
1026,10/09/2022,328704
1027,10/08/2022,407218
1028,10/07/2022,560826
1029,10/06/2022,608343
1030,10/05/2022,599528
1031,10/04/2022,593607
1032,10/03/2022,539995
1033,10/02/2022,238889
1034,10/01/2022,320897
1035,09/30/2022,563874
1036,09/29/2022,618567
1037,09/28/2022,640194
1038,09/27/2022,641433
1039,09/26/2022,565791
1040,09/25/2022,279568
1041,09/24/2022,394932
1042,09/23/2022,576304
1043,09/22/2022,599263
1044,09/21/2022,627400
1045,09/20/2022,624247
1046,09/19/2022,562861
1047,09/18/2022,297564
1048,09/17/2022,384837
1049,09/16/2022,585541
1050,09/15/2022,614216
1051,09/14/2022,644742
1052,09/13/2022,638736
1053,09/12/2022,555281
1054,09/11/2022,249902
1055,09/10/2022,366778
1056,09/09/2022,581151
1057,09/08/2022,638848
1058,09/07/2022,608275
1059,09/06/2022,585617
1060,09/05/2022,275216
1061,09/04/2022,314525
1062,09/03/2022,391944
1063,09/02/2022,556417
1064,09/01/2022,600573
1065,08/31/2022,605502
1066,08/30/2022,582687
1067,08/29/2022,542053
